TokenID,Character,Earrings,Eyes,Hat,Mouth,Neck,Nose,Whiskers
0,Matthias,None,Looking Left,Elvis,Big Smile,Black Necklace,Normal,Tiny Whiskers
1,Simon,None,Looking Left,No Hat,Big Frown,Plain,Normal,Tiny Whiskers
2,Templeton,None,Bandit Mask,Construction Hat,Smile,Plain,Normal,Whiskers
3,Matthias,None,Crazy,No Hat,Small Smile,Red Necklace,Big,Big Whiskers
4,Templeton,None,Crosseyed,No Hat,Small Smile,Plain,No Nose,Whiskers
5,Matthias,None,Looking Right,No Hat,Straight,Plain,No Nose,Whiskers
7,Simon,None,Crosseyed,No Hat,Big Frown,Red Necklace,Tiny,No Whiskers
8,Common,None,Looking Up,Halo,Small Smile,Plain,No Nose,Whiskers
9,Simon,None,Crosseyed,No Hat,Big Frown,Black Necklace,No Nose,Whiskers
10,Common,None,Bandit Mask,No Hat,Big Smile,Plain,Dark,Whiskers
12,Templeton,None,VR Goggles,No Hat,Big Frown,Plain,Big,Tiny Whiskers
13,Common,None,Looking Left,Karate Kid,Straight,Fancy,Tiny,Whiskers
14,Reepicheep,None,Sunglasses,No Hat,Big Smile,Black Necklace,Normal,Big Whiskers
15,Jerry,None,Looking Up,Soldier,Frown,Red Necklace,Tiny,Whiskers
16,Stuart,None,Crazy,No Hat,Frown,Fancy,Big,Big Whiskers
19,Templeton,None,Looking Left,No Hat,Frown,Plain,Dark,Whiskers
20,Simon,None,Looking Left,No Hat,Small Frown,Red Necklace,No Nose,Whiskers
21,Templeton,None,Crosseyed,Construction Hat,Frown,Plain,No Nose,Whiskers
22,Reepicheep,None,Sunglasses,No Hat,Big Frown,Red Necklace,Dark,Tiny Whiskers
23,Jerry,None,Looking Right,No Hat,Small Frown,Plain,No Nose,Whiskers
24,Common,None,Looking Up,Bane,Small Frown,Plain,Tiny,Whiskers
25,Common,Flower,Bandit Mask,No Hat,Smile,Plain,Big,No Whiskers
29,Alvin,Flower,Crazy,Elvis,Big Smile,Red Necklace,Big,Whiskers
30,Jerry,None,Looking Left,No Hat,Frown,Red Necklace,No Nose,Handlebar
31,Reepicheep,None,3D Glasses,Construction Hat,Small Smile,Plain,Dark,Tiny Whiskers
32,Alvin,None,Looking Up,No Hat,Big Smile,Plain,No Nose,Whiskers
33,Reepicheep,None,Looking Left,No Hat,Big Smile,Fancy,Normal,Whiskers
34,Jerry,None,Crazy,Construction Hat,Small Smile,Plain,Dark,Whiskers
